Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17261932,"Matate, amor",Ariana Harwicz,"Harwicz, Ariana",,"=""848381126X""","=""9788483811269""",4,Lengua de Trapo,Paperback,152,2012,2012,2025/10/26,2025/10/26,,,read,"Vine acá después de ver la pelicula, lo cual no es una buena idea porque son muy diferentes, tienen enfoques diferentes. Ambas cosas me parecieron geniales pero son historias diferentes.",,,1,0
58013522,Más allá de mi reino,Yaa Gyasi,"Gyasi, Yaa",Eduardo Hojman,"=""8418363266""","=""9788418363269""",4,Salamandra,Paperback,320,2021,2020,2025/10/19,2025/10/19,,,read,"Muy particular la visión sobre la espiritualidad, la mezcla con la inmigración, con las adicciones, con la depresión, con la ciencia. A veces parece un poco naif pero incluso desde ahí no deja de ser muy intenso. ",,,1,0
13042619,El cuerpo en que nací,Guadalupe Nettel,"Nettel, Guadalupe",,"=""8433972316""","=""9788433972316""",4,Editorial Anagrama,Paperback,200,2011,2011,2025/10/06,2025/10/06,,,read,"Disfruté la lectura pero me quedé con poco. Demasiado autobiográfica, pierde un poco lo literatura. Muchos hilos sueltos. ",,,1,0
18528038,Faces in the Crowd,Valeria Luiselli,"Luiselli, Valeria",Christina MacSweeney,"=""1566893542""","=""9781566893541""",4,Coffee House Press,Paperback,146,2014,2011,2025/10/03,2025/10/02,,,read,Un libro rarisimo pero muy bello. ,,,1,0
27778352,"Voces de Chernóbil: Crónica del futuro (Voces de utopía, #4)",Svetlana Alexievich,"Alexievich, Svetlana",Ricardo San Vicente,"=""6073139632""","=""9786073139632""",5,Debate,Paperback,408,2016,1997,2025/09/18,2025/09/08,,,read,Tremendo conocer un poco más de este hecho y encima con el recurso coro de voces. ,,,1,0
341624,Salón de belleza,Mario Bellatin,"Bellatin, Mario",,"=""8483101424""","=""9788483101421""",2,Tusquets Editores S.A.,Paperback,80,2000,1994,2025/09/02,2025/09/02,,,read,La idea está buena pero me parece pesimamente llevada a cabo ,,,1,0
24001,Soldados de Salamina,Javier Cercas,"Cercas, Javier",,"=""8483101610""","=""9788483101612""",4,Tusquets,Paperback,216,2001,2001,2025/08/30,2025/08/30,,,read,En un momento pensé en dejarlo pero me alegro de no haberlo hecho porque me dio un lindo sentimiento de esperanza y ternura,,,1,0
44438256,Las malas,Camila Sosa Villada,"Villada, Camila Sosa",,"=""9876704818""","=""9789876704816""",5,Tusquets,Paperback,224,2019,2019,2025/08/23,2025/08/23,,,read,Te parte al medio. ,,,1,0
23653782,Juliana los mira,Evelio Rosero,"Rosero, Evelio",,"=""8433917455""","=""9788433917454""",3,Anagrama,Paperback,200,1986,1986,,2025/08/16,,,read,"Rarisimo, turbio. La prosa está ok. Medio Marques De Sade pero repetitivo. ",,,2,0
201772045,La reina del baile,Camila Fabbri,"Fabbri, Camila",,"=""8433922173""","=""9788433922175""",3,Editorial Anagrama,Paperback,176,2023,2023,2025/08/16,2025/08/16,,,read,Un poco cansada de las novelas de las chicas que no saben hacerse amigas y tienen una introspección rara y diferente. No me causó mucho. ,,,1,0
141419177,Literatura infantil,Alejandro Zambra,"Zambra, Alejandro",,"=""8433905163""","=""9788433905161""",5,Anagrama,Paperback,232,2023,2023,2025/08/08,2025/08/08,,,read,Precioso. Lloré varias veces. ,,,1,0
